sequencerun_pk,run_sra_accession,run_ncbi_trace_link,sample_name,run_ncbi_identifier,run_avg_spot_length,run_bases,run_bytes,run_megabases,run_megabytes,run_num_replicons,run_releasedate,run_releasedate_curated
MDDBSRR000392,SRR1502668,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502668,S240,pooled forest soil sample-S240,427,3571184,8057284,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000393,SRR1502419,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502419,G2839,pooled forest soil sample-G2839,456,2451741,5532435,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000394,SRR1502582,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502582,S142,pooled forest soil sample-S142,471,4008460,8721879,4,8,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000395,SRR1502584,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502584,S146,pooled forest soil sample-S146,479,2823950,6123458,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000396,SRR1502585,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502585,S147,pooled forest soil sample-S147,441,3072479,6834533,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000397,SRR1502583,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502583,S143,pooled forest soil sample-S143,459,2534113,5582794,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000398,SRR1502586,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502586,S148,pooled forest soil sample-S148,491,3180064,6884822,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000399,SRR1502360,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502360,G2661,pooled forest soil sample-G2661,448,3232510,7285665,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000400,SRR1502368,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502368,G2675,pooled forest soil sample-G2675,470,2295769,5055007,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000401,SRR1502369,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502369,G2676,pooled forest soil sample-G2676,443,2904967,6599056,2,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000402,SRR1502377,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502377,G2732,pooled forest soil sample-G2732,467,2545250,5668041,2,5,4,2014-07-09T00:00:00Z,2014-07-09
